Name,Gene id,Up region,Down region,Inserted sequence,Manipulation type
b0413_del,b0413,0,0,-,deletion
b0414_del,b0414,0,0,-,deletion
b0415_del,b0415,0,0,-,deletion
b0416_del,b0416,0,0,-,deletion
b0417_del,b0417,0,0,-,deletion
b0418_del,b0418,0,0,-,deletion
b0419_del,b0419,0,0,-,deletion
b0420_del,b0420,0,0,-,deletion
b0421_del,b0421,0,0,-,deletion
b0422_del,b0422,0,0,-,deletion
b0423_del,b0423,0,0,-,deletion
b0424_del,b0424,0,0,-,deletion
b0425_del,b0425,0,0,-,deletion
b0426_del,b0426,0,0,-,deletion
b0427_del,b0427,0,0,-,deletion
b0428_del,b0428,0,0,-,deletion
b0429_del,b0429,0,0,-,deletion
b0430_del,b0430,0,0,-,deletion
b0431_del,b0431,0,0,-,deletion
b0432_del,b0432,0,0,-,deletion
b0433_del,b0433,0,0,-,deletion
b0434_del,b0434,0,0,-,deletion
b0435_del,b0435,0,0,-,deletion
b0436_del,b0436,0,0,-,deletion
b0437_del,b0437,0,0,-,deletion
b0438_del,b0438,0,0,-,deletion
b0439_del,b0439,0,0,-,deletion
b0440_del,b0440,0,0,-,deletion
b0441_del,b0441,0,0,-,deletion
b0442_del,b0442,0,0,-,deletion
b0443_del,b0443,0,0,-,deletion
b0444_del,b0444,0,0,-,deletion
b0445_del,b0445,0,0,-,deletion
b0446_del,b0446,0,0,-,deletion
b0447_del,b0447,0,0,-,deletion
b0448_del,b0448,0,0,-,deletion
b0449_del,b0449,0,0,-,deletion
b0450_del,b0450,0,0,-,deletion
b0451_del,b0451,0,0,-,deletion
b0452_del,b0452,0,0,-,deletion
b0453_del,b0453,0,0,-,deletion
b0454_del,b0454,0,0,-,deletion
b0455_del,b0455,0,0,-,deletion
b0456_del,b0456,0,0,-,deletion
b0457_del,b0457,0,0,-,deletion
b0458_del,b0458,0,0,-,deletion
b0459_del,b0459,0,0,-,deletion
b0460_del,b0460,0,0,-,deletion
b0461_del,b0461,0,0,-,deletion
b0462_del,b0462,0,0,-,deletion
b0463_del,b0463,0,0,-,deletion
b0464_del,b0464,0,0,-,deletion
b0465_del,b0465,0,0,-,deletion
b0466_del,b0466,0,0,-,deletion
b0467_del,b0467,0,0,-,deletion
b0468_del,b0468,0,0,-,deletion
b0469_del,b0469,0,0,-,deletion
b0470_del,b0470,0,0,-,deletion
b0471_del,b0471,0,0,-,deletion
b0472_del,b0472,0,0,-,deletion
b0473_del,b0473,0,0,-,deletion
b0474_del,b0474,0,0,-,deletion
b0475_del,b0475,0,0,-,deletion
b0476_del,b0476,0,0,-,deletion
b0477_del,b0477,0,0,-,deletion
b0478_del,b0478,0,0,-,deletion
b0479_del,b0479,0,0,-,deletion
b0480_del,b0480,0,0,-,deletion
b0481_del,b0481,0,0,-,deletion
b4585_del,b4585,0,0,-,deletion
b0482_del,b0482,0,0,-,deletion
b0483_del,b0483,0,0,-,deletion
b0484_del,b0484,0,0,-,deletion
b0485_del,b0485,0,0,-,deletion
b0486_del,b0486,0,0,-,deletion
b0487_del,b0487,0,0,-,deletion
b0488_del,b0488,0,0,-,deletion
b0489_del,b0489,0,0,-,deletion
b0490_del,b0490,0,0,-,deletion
b0491_del,b0491,0,0,-,deletion
b0492_del,b0492,0,0,-,deletion
b0493_del,b0493,0,0,-,deletion
b0494_del,b0494,0,0,-,deletion
b0495_del,b0495,0,0,-,deletion
b0496_del,b0496,0,0,-,deletion
b0497_del,b0497,0,0,-,deletion
b0498_del,b0498,0,0,-,deletion
b0499_del,b0499,0,0,-,deletion
b0501_del,b0501,0,0,-,deletion
b4632_del,b4632,0,0,-,deletion
b0502_del,b0502,0,0,-,deletion
b0503_del,b0503,0,0,-,deletion
b0504_del,b0504,0,0,-,deletion
b0505_del,b0505,0,0,-,deletion
b0506_del,b0506,0,0,-,deletion
b0507_del,b0507,0,0,-,deletion
b0508_del,b0508,0,0,-,deletion
b0509_del,b0509,0,0,-,deletion
b0511_del,b0511,0,0,-,deletion
b0512_del,b0512,0,0,-,deletion
b0513_del,b0513,0,0,-,deletion
b0514_del,b0514,0,0,-,deletion
b0515_del,b0515,0,0,-,deletion
b0516_del,b0516,0,0,-,deletion
b0517_del,b0517,0,0,-,deletion
b0518_del,b0518,0,0,-,deletion
b4572_del,b4572,0,0,-,deletion
b0520_del,b0520,0,0,-,deletion
b0521_del,b0521,0,0,-,deletion
b0522_del,b0522,0,0,-,deletion
b0523_del,b0523,0,0,-,deletion
b0524_del,b0524,0,0,-,deletion
b0525_del,b0525,0,0,-,deletion
b0526_del,b0526,0,0,-,deletion
b0527_del,b0527,0,0,-,deletion
b0528_del,b0528,0,0,-,deletion
b0529_del,b0529,0,0,-,deletion
b0530_del,b0530,0,0,-,deletion
b0531_del,b0531,0,0,-,deletion
b0532_del,b0532,0,0,-,deletion
b0533_del,b0533,0,0,-,deletion
b0534_del,b0534,0,0,-,deletion
b0535_del,b0535,0,0,-,deletion
b0536_del,b0536,0,0,-,deletion
b0537_del,b0537,0,0,-,deletion
b4633_del,b4633,0,0,-,deletion
b0539_del,b0539,0,0,-,deletion
b4508_del,b4508,0,0,-,deletion
b0542_del,b0542,0,0,-,deletion
b0540_del,b0540,0,0,-,deletion
b0541_del,b0541,0,0,-,deletion
b0543_del,b0543,0,0,-,deletion
b4733_del,b4733,0,0,-,deletion
b0544_del,b0544,0,0,-,deletion
b0545_del,b0545,0,0,-,deletion
b0546_del,b0546,0,0,-,deletion
