,strain,design target,B:time,B:mean time,A:time,A:mean time,B:off target numbers,B mean:off target numbers,A:time - B:time
74,Corynebacterium_glutamicum,250-3,1713.146385192871,1720.1462376117706,2589.977481842041,2440.9269921779633,8.0,7.2,876.8310966491699
75,Corynebacterium_glutamicum,300-1,2234.326999902725,2249.199260187149,2706.4508361816406,2721.6428028583528,14.0,10.8,472.1238362789154
76,Corynebacterium_glutamicum,300-2,2239.425971508026,2249.199260187149,2668.53760099411,2721.6428028583528,6.0,10.8,429.111629486084
77,Corynebacterium_glutamicum,300-4,2239.624603748321,2249.199260187149,2670.847000837326,2721.6428028583528,5.0,10.8,431.22239708900497
78,Corynebacterium_glutamicum,300-3,2249.2643461227417,2249.199260187149,2744.626373529434,2721.6428028583528,16.0,10.8,495.3620274066925
79,Corynebacterium_glutamicum,300-5,2283.3543796539307,2249.199260187149,2817.7522027492523,2721.6428028583528,13.0,10.8,534.3978230953217
80,Corynebacterium_glutamicum,350-1,2523.266558647156,2535.5893785476683,2970.8036937713623,3001.1658812522887,14.0,13.0,447.5371351242061
81,Corynebacterium_glutamicum,350-2,2526.706464290619,2535.5893785476683,3210.031498193741,3001.1658812522887,18.0,13.0,683.325033903122
82,Corynebacterium_glutamicum,350-5,2529.550192594528,2535.5893785476683,2968.92085814476,3001.1658812522887,18.0,13.0,439.37066555023193
83,Corynebacterium_glutamicum,350-4,2540.68599152565,2535.5893785476683,2906.7800102233887,3001.1658812522887,6.0,13.0,366.09401869773865
84,Corynebacterium_glutamicum,350-3,2557.7376856803894,2535.5893785476683,2949.293345928192,3001.1658812522887,9.0,13.0,391.55566024780273
85,Corynebacterium_glutamicum,400-1,2795.3089883327484,2786.9492650985717,3115.3439478874207,3132.3623181819917,13.0,14.4,320.03495955467224
86,Corynebacterium_glutamicum,400-3,2787.756587266922,2786.9492650985717,3164.6438403129578,3132.3623181819917,19.0,14.4,376.88725304603577
87,Corynebacterium_glutamicum,400-5,2787.186187028885,2786.9492650985717,3087.9195835590363,3132.3623181819917,11.0,14.4,300.73339653015137
88,Corynebacterium_glutamicum,400-2,2777.305356502533,2786.9492650985717,3118.119107723236,3132.3623181819917,14.0,14.4,340.8137512207031
89,Corynebacterium_glutamicum,400-4,2787.18920636177,2786.9492650985717,3175.785111427307,3132.3623181819917,15.0,14.4,388.59590506553695
90,Corynebacterium_glutamicum,450-1,2983.0668659210205,2992.655366849899,3302.7626056671143,3409.9018099308014,20.0,18.6,319.69573974609375
91,Corynebacterium_glutamicum,450-4,2988.689537525177,2992.655366849899,3441.89879822731,3409.9018099308014,13.0,18.6,453.2092607021332
92,Corynebacterium_glutamicum,450-5,2993.828378200531,2992.655366849899,3533.910689592361,3409.9018099308014,19.0,18.6,540.08231139183
93,Corynebacterium_glutamicum,450-3,2994.4331362247467,2992.655366849899,3271.904404401779,3409.9018099308014,15.0,18.6,277.47126817703247
94,Corynebacterium_glutamicum,450-2,3003.258916378021,2992.655366849899,3499.032551765442,3409.9018099308014,26.0,18.6,495.7736353874211
95,Corynebacterium_glutamicum,500-2,3217.608541250229,3204.8154933452606,3585.793971538544,3588.868669462204,19.0,17.8,368.1854302883153
96,Corynebacterium_glutamicum,500-3,3185.200594186783,3204.8154933452606,3651.7351500988007,3588.868669462204,24.0,17.8,466.5345559120178
97,Corynebacterium_glutamicum,500-4,3198.95524930954,3204.8154933452606,3542.3695724010468,3588.868669462204,14.0,17.8,343.41432309150696
98,Corynebacterium_glutamicum,500-5,3199.376259803772,3204.8154933452606,3544.3609907627106,3588.868669462204,14.0,17.8,344.9847309589386
99,Corynebacterium_glutamicum,500-1,3222.93682217598,3204.8154933452606,3620.083662509918,3588.868669462204,18.0,17.8,397.14684033393814
100,Escherichia_coli,50-1,266.63257813453674,282.92464752197264,468.1158475875855,423.56966347694396,3.0,2.6,201.48326945304876
101,Escherichia_coli,50-3,274.80502367019653,282.92464752197264,375.2263352870941,423.56966347694396,2.0,2.6,100.42131161689758
102,Escherichia_coli,50-2,285.77886962890625,282.92464752197264,395.98177695274353,423.56966347694396,4.0,2.6,110.20290732383728
103,Escherichia_coli,50-4,291.12960386276245,282.92464752197264,384.3554358482361,423.56966347694396,2.0,2.6,93.22583198547363
104,Escherichia_coli,50-5,296.2771623134613,282.92464752197264,494.1689217090607,423.56966347694396,2.0,2.6,197.89175939559942
105,Escherichia_coli,100-5,630.9160482883453,644.8674717903137,853.1142213344574,868.6026207447052,3.0,2.8,222.19817304611206
106,Escherichia_coli,100-2,633.6576383113861,644.8674717903137,809.7467014789581,868.6026207447052,1.0,2.8,176.08906316757202
107,Escherichia_coli,100-4,649.0799520015717,644.8674717903137,872.8546130657196,868.6026207447052,5.0,2.8,223.77466106414795
108,Escherichia_coli,100-1,649.0887241363525,644.8674717903137,887.9223444461823,868.6026207447052,3.0,2.8,238.8336203098297
109,Escherichia_coli,100-3,661.594996213913,644.8674717903137,919.3752233982086,868.6026207447052,2.0,2.8,257.78022718429565
110,Escherichia_coli,150-2,1026.224818468094,1015.7620725154877,1396.710425376892,1538.7160996437074,8.0,5.6,370.485606908798
111,Escherichia_coli,150-3,1021.2647552490234,1015.7620725154877,1480.538087129593,1538.7160996437074,5.0,5.6,459.27333188056946
112,Escherichia_coli,150-4,1001.1280615329742,1015.7620725154877,1810.1951513290403,1538.7160996437074,6.0,5.6,809.067089796066
113,Escherichia_coli,150-5,1012.5402603149414,1015.7620725154877,1603.4499077796936,1538.7160996437074,4.0,5.6,590.9096474647522
114,Escherichia_coli,150-1,1017.6524670124054,1015.7620725154877,1402.6869266033173,1538.7160996437074,5.0,5.6,385.03445959091187
115,Escherichia_coli,200-5,1383.6895349025726,1413.4208546161651,2196.795553922653,2079.9663363933564,8.0,7.0,813.1060190200806
116,Escherichia_coli,200-1,1391.1162269115448,1413.4208546161651,2128.7988209724426,2079.9663363933564,9.0,7.0,737.6825940608978
117,Escherichia_coli,200-3,1415.8970019817352,1413.4208546161651,1920.5186820030208,2079.9663363933564,6.0,7.0,504.62168002128556
118,Escherichia_coli,200-2,1420.111358165741,1413.4208546161651,1996.5024259090424,2079.9663363933564,6.0,7.0,576.3910677433014
119,Escherichia_coli,200-4,1456.2901511192322,1413.4208546161651,2157.216199159622,2079.9663363933564,6.0,7.0,700.92604804039
120,Escherichia_coli,250-3,1859.700794696808,1852.765916633606,2364.2343456745148,2529.1744763374327,10.0,11.0,504.5335509777067
121,Escherichia_coli,250-1,1859.4010109901428,1852.765916633606,2301.1458191871643,2529.1744763374327,4.0,11.0,441.7448081970215
122,Escherichia_coli,250-5,1864.110379934311,1852.765916633606,2633.0058150291443,2529.1744763374327,14.0,11.0,768.8954350948334
123,Escherichia_coli,250-2,1829.0834801197047,1852.765916633606,2556.01457953453,2529.1744763374327,14.0,11.0,726.9310994148254
124,Escherichia_coli,250-4,1851.533917427063,1852.765916633606,2791.4718222618103,2529.1744763374327,13.0,11.0,939.9379048347473
125,Escherichia_coli,300-1,2345.651132106781,2384.1824021339417,2592.4822945594788,2827.28629989624,9.0,14.0,246.83116245269775
126,Escherichia_coli,300-4,2374.855576276779,2384.1824021339417,2843.283831357956,2827.28629989624,17.0,14.0,468.42825508117676
127,Escherichia_coli,300-5,2374.856654405594,2384.1824021339417,3207.2942521572118,2827.28629989624,18.0,14.0,832.4375977516179
128,Escherichia_coli,300-2,2395.95449590683,2384.1824021339417,2638.564282655716,2827.28629989624,9.0,14.0,242.6097867488861
129,Escherichia_coli,300-3,2429.5941519737244,2384.1824021339417,2854.8068387508392,2827.28629989624,17.0,14.0,425.21268677711487
130,Escherichia_coli,350-5,2671.237792015076,2688.5951942920683,3121.631216287613,3173.462385082245,15.0,15.6,450.3934242725368
131,Escherichia_coli,350-4,2675.366791248321,2688.5951942920683,3085.68100643158,3173.462385082245,18.0,15.6,410.31421518325897
132,Escherichia_coli,350-3,2690.0079843997955,2688.5951942920683,3392.129341602325,3173.462385082245,19.0,15.6,702.1213572025295
