,strain,design target,B:time,B:mean time,A:time,A:mean time
168,Pseudomonas_aeruginosa,200-1,1118.0593435764313,1110.0118097782135,2036.6608264446256,1960.8882858753204
169,Pseudomonas_aeruginosa,200-2,1122.6845269203186,1110.0118097782135,1960.412030220032,1960.8882858753204
170,Pseudomonas_aeruginosa,250-3,1530.194833278656,1523.0163537979126,2724.79102230072,2817.43967795372
171,Pseudomonas_aeruginosa,250-5,1526.5169961452484,1523.0163537979126,2810.972167491913,2817.43967795372
172,Pseudomonas_aeruginosa,250-1,1549.8882982730863,1523.0163537979126,2762.121834754944,2817.43967795372
173,Pseudomonas_aeruginosa,250-2,1500.001546382904,1523.0163537979126,2459.3392124176025,2817.43967795372
174,Pseudomonas_aeruginosa,250-4,1508.480094909668,1523.0163537979126,3329.974152803421,2817.43967795372
175,Pseudomonas_aeruginosa,300-3,1845.5621592998505,1889.805179309845,2629.5963537693024,2722.568670272827
176,Pseudomonas_aeruginosa,300-5,1868.2555236816409,1889.805179309845,2923.907060623169,2722.568670272827
177,Pseudomonas_aeruginosa,300-2,1877.4166386127472,1889.805179309845,2690.9032728672028,2722.568670272827
178,Pseudomonas_aeruginosa,300-4,1891.5858492851255,1889.805179309845,2678.200956106186,2722.568670272827
179,Pseudomonas_aeruginosa,300-1,1966.2057256698608,1889.805179309845,2690.235707998276,2722.568670272827
180,Pseudomonas_aeruginosa,350-3,2182.710865497589,2225.143527984619,3326.2870151996613,3029.4830165863036
181,Pseudomonas_aeruginosa,350-4,2191.6505761146545,2225.143527984619,2874.1340339183807,3029.4830165863036
182,Pseudomonas_aeruginosa,350-5,2229.599375486374,2225.143527984619,2845.146453142166,3029.4830165863036
183,Pseudomonas_aeruginosa,350-2,2251.0516815185547,2225.143527984619,2970.011631011963,3029.4830165863036
184,Pseudomonas_aeruginosa,350-1,2270.7051413059235,2225.143527984619,3131.8359496593475,3029.4830165863036
185,Pseudomonas_aeruginosa,400-1,2557.426149129868,2547.464893245697,3587.0790495872498,3462.743999671936
186,Pseudomonas_aeruginosa,400-3,2552.774682998657,2547.464893245697,3447.105729818344,3462.743999671936
187,Pseudomonas_aeruginosa,400-4,2542.9075717926025,2547.464893245697,3505.3080286979675,3462.743999671936
188,Pseudomonas_aeruginosa,400-5,2540.733525037765,2547.464893245697,3113.7400467395782,3462.743999671936
189,Pseudomonas_aeruginosa,400-2,2543.4825372695923,2547.464893245697,3660.487143516541,3462.743999671936
190,Pseudomonas_aeruginosa,450-4,2664.5078949928284,2685.637950849533,3333.3663227558136,3396.8213822841644
191,Pseudomonas_aeruginosa,450-1,2670.311294794082,2685.637950849533,3420.6450684070587,3396.8213822841644
192,Pseudomonas_aeruginosa,450-3,2687.04110622406,2685.637950849533,3303.149671792984,3396.8213822841644
193,Pseudomonas_aeruginosa,450-5,2690.8149547576904,2685.637950849533,3555.853660583496,3396.8213822841644
194,Pseudomonas_aeruginosa,450-2,2715.514503479004,2685.637950849533,3371.0921878814697,3396.8213822841644
195,Pseudomonas_aeruginosa,500-3,2922.2085168361664,2916.9211514949798,3800.767826318741,3742.9066553592684
196,Pseudomonas_aeruginosa,500-2,2901.6397964954376,2916.9211514949798,3603.008694648743,3742.9066553592684
197,Pseudomonas_aeruginosa,500-4,2916.259283065796,2916.9211514949798,3933.3459565639496,3742.9066553592684
198,Pseudomonas_aeruginosa,500-1,2917.9875857830048,2916.9211514949798,3570.204927444458,3742.9066553592684
199,Pseudomonas_aeruginosa,500-5,2926.510575294494,2916.9211514949798,3807.20587182045,3742.9066553592684
200,Salmonella_typhimurium,50-1,262.0386316776276,267.76114349365236,765.8454704284668,528.9213690757751
201,Salmonella_typhimurium,50-4,264.73775362968445,267.76114349365236,492.1252110004425,528.9213690757751
202,Salmonella_typhimurium,50-3,267.30845522880554,267.76114349365236,305.20707869529724,528.9213690757751
203,Salmonella_typhimurium,50-5,272.33260345458984,267.76114349365236,794.3095862865448,528.9213690757751
204,Salmonella_typhimurium,50-2,272.3882734775543,267.76114349365236,287.1194989681244,528.9213690757751
205,Salmonella_typhimurium,100-5,525.6872141361237,527.7026337623596,673.8822174072266,1090.200308084488
206,Salmonella_typhimurium,100-2,525.7282497882843,527.7026337623596,1347.2484152317047,1090.200308084488
207,Salmonella_typhimurium,100-3,525.7322888374329,527.7026337623596,1984.6898283958435,1090.200308084488
208,Salmonella_typhimurium,100-1,526.6747059822083,527.7026337623596,740.4921455383301,1090.200308084488
209,Salmonella_typhimurium,100-4,534.690710067749,527.7026337623596,704.6889338493347,1090.200308084488
210,Salmonella_typhimurium,150-1,854.4697825908661,824.9372369766236,1475.2262930870056,1452.5236937046052
211,Salmonella_typhimurium,150-4,829.3426945209503,824.9372369766236,1138.7145233154297,1452.5236937046052
212,Salmonella_typhimurium,150-3,796.2946436405182,824.9372369766236,1750.0707268714905,1452.5236937046052
